"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3445","Edit course","LMS system","Tue Jun 23 14:05:58 UTC 2026","passed","Tue Jun 23 14:06:02 UTC 2026","Courses","Courses","",""
"","2120","User login with wrong email or password","LMS system","Tue Jun 23 14:05:48 UTC 2026","passed","Tue Jun 23 14:05:50 UTC 2026","Authorization","Authentication","",""
"","2517","Create course","LMS system","Tue Jun 23 14:05:58 UTC 2026","passed","Tue Jun 23 14:06:00 UTC 2026","Courses","Courses","",""
"","2045","Check displaying of dashboard page","LMS system","Tue Jun 23 14:06:01 UTC 2026","passed","Tue Jun 23 14:06:03 UTC 2026","Dashboard","Dashboard","",""
"","1665","Check displaying of empty courses list","LMS system","Tue Jun 23 14:05:56 UTC 2026","passed","Tue Jun 23 14:05:58 UTC 2026","Courses","Courses","",""
"","2084","User login with wrong email or password","LMS system","Tue Jun 23 14:05:48 UTC 2026","passed","Tue Jun 23 14:05:50 UTC 2026","Authorization","Authentication","",""
"","1794","Navigation from login page to registration page","LMS system","Tue Jun 23 14:05:53 UTC 2026","passed","Tue Jun 23 14:05:55 UTC 2026","Authorization","Authentication","",""
"","1952","User login with wrong email or password","LMS system","Tue Jun 23 14:05:50 UTC 2026","passed","Tue Jun 23 14:05:52 UTC 2026","Authorization","Authentication","",""
"","1805","Registration with correct email, username and password","LMS system","Tue Jun 23 14:05:54 UTC 2026","passed","Tue Jun 23 14:05:56 UTC 2026","Registration","Authentication","",""
"","3341","User login with correct email and password","LMS system","Tue Jun 23 14:05:50 UTC 2026","passed","Tue Jun 23 14:05:54 UTC 2026","Authorization","Authentication","",""
